Games	Wins	Winning percent
1081	482	0.445883
1082	483	0.446396
1083	483	0.445983
1084	483	0.445572
1085	483	0.445161
1086	484	0.445672
1087	484	0.445262
1088	485	0.445772
1089	485	0.445363
1090	486	0.445872
1091	487	0.446379
1092	487	0.445971
1093	488	0.446478
1094	488	0.446069
1095	489	0.446575
1096	489	0.446168
1097	490	0.446673
1098	491	0.447177
1099	492	0.44768
1100	492	0.447273
1101	493	0.447775
1102	494	0.448276
1103	495	0.448776
1104	496	0.449275
1105	496	0.448869
1106	497	0.449367
1107	497	0.448961
1108	497	0.448556
1109	498	0.449053
1110	498	0.448649
1111	499	0.449145
1112	500	0.44964
1113	501	0.450135
1114	501	0.449731
1115	502	0.450224
1116	502	0.449821
1117	503	0.450313
1118	503	0.449911
1119	504	0.450402
1120	504	0.45
1121	504	0.449599
1122	505	0.450089
1123	506	0.450579
1124	507	0.451068
1125	508	0.451556
1126	508	0.451155
1127	508	0.450754
1128	509	0.451241
1129	509	0.450841
1130	510	0.451327
1131	510	0.450928
1132	511	0.451413
1133	511	0.451015
1134	512	0.451499
1135	513	0.451982
1136	513	0.451585
1137	514	0.452067
1138	514	0.45167
1139	514	0.451273
1140	514	0.450877
1141	514	0.450482
1142	514	0.450088
1143	514	0.449694
1144	514	0.449301
1145	514	0.448908
1146	514	0.448517
1147	514	0.448126
1148	515	0.448606
1149	516	0.449086
1150	517	0.449565
1151	517	0.449175
1152	517	0.448785
1153	518	0.449263
1154	519	0.44974
1155	519	0.449351
1156	519	0.448962
1157	519	0.448574
1158	519	0.448187
1159	519	0.4478
1160	520	0.448276
1161	520	0.44789
1162	521	0.448365
1163	522	0.448839
1164	523	0.449313
1165	524	0.449785
1166	525	0.450257
1167	525	0.449871
1168	525	0.449486
1169	526	0.449957
1170	527	0.450427
1171	528	0.450897
1172	528	0.450512
1173	528	0.450128
1174	529	0.450596
1175	530	0.451064
1176	530	0.45068
1177	530	0.450297
1178	530	0.449915
1179	531	0.450382
1180	532	0.450847
1181	532	0.450466
1182	532	0.450085
1183	533	0.450549
1184	533	0.450169
1185	533	0.449789
1186	534	0.450253
1187	535	0.450716
1188	535	0.450337
1189	536	0.450799
1190	536	0.45042
1191	537	0.450882
1192	537	0.450503
1193	537	0.450126
1194	538	0.450586
1195	538	0.450209
1196	538	0.449833
1197	538	0.449457
1198	538	0.449082
1199	538	0.448707
1200	538	0.448333
1201	538	0.44796
1202	539	0.448419
1203	539	0.448047
1204	540	0.448505
1205	541	0.448963
1206	541	0.44859
1207	542	0.449047
1208	543	0.449503
1209	543	0.449132
1210	544	0.449587
1211	544	0.449216
1212	544	0.448845
1213	545	0.449299
1214	545	0.448929
1215	546	0.449383
1216	546	0.449013
1217	547	0.449466
1218	547	0.449097
1219	547	0.448728
1220	548	0.44918
1221	549	0.449631
